[Mastercad Black]|Opening Balance|undefined
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|SUPERMERCATO CARREFOU
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Calzedonia|CALZEDONIA - MNGV SRL
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Zara|CC ZARA 9226
E2. Extraordinárias (One Time):Outras|Outros|Progetto Arca
D. Viagens:Compras|Lojas|HM IT0500
D. Viagens:Compras|Lojas|MAGLIERIE SANT AMBROGI
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Intimissimi|INTIMISSIMI -CT
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Zara|CC ZARA 9226-CT
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Calzedonia|CALZEDONIA  -CT
D. Viagens:Compras|Lojas|TNF 458
E1. Extraordinárias (Ongoing):Presentes|Outros|GIUNTI EDITORE SPA QC GIGI
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|LUPO VILLA L-CT   02/03
E1. Extraordinárias (Ongoing):Presentes|Lojas|GRANADO PHAR-CT AS02/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Lojas|PAG*MobVillaLobos 04/06
D. Viagens:Passeios-Restaurantes|Lojas|VERONA 83 S.C.A.R.L.
E2. Extraordinárias (One Time):Médicos-Clinicas-Exames|Hospital Albert Einstein|EINSTEIN MORUMBI  02/03
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Lojas|TOK&STOK          07/10
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|CORELLO|CORELLO - SHOP MOR03/03
E1. Extraordinárias (Ongoing):Presentes|Lojas|MISHA MORUMBI     03/07
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|FC ESTETICA EIRELI03/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Intimissimi|ALNILAM COMERCIO D01/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LJ 3008 AERO CGH1 SP
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BRUTTUS BURGER
B2. Educação (Mensal):Livros-Material Escolar|Outros|SPR COMERCIAL     01/06
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Ingresso|CINEMA ARTEPLEX
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Ingresso|INGRESSO ONLINE VELOX
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|TAM CALLCENTER    03/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Decathlon|DECATHLON RAPOSO  07/10
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|SUMMIT ESTETICA LT02/12
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|PHYTOART FARMACIA 01/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|JMLP RESTAURANTE E PIZ
D. Viagens:Passeios-Restaurantes|Outros|BIG-TOUR          07/10
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Loungerie|LOUNGERIE         03/05
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|2796RAIA          01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Arezzo|PG *AREZZO        03/05
B. Outras Receitas:Ajustes|Ajustes|2796RAIA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Calzedonia|ALNITAK COMERCIO D02/04
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FARABBUD MOEMA
E1. Extraordinárias (Ongoing):Assinaturas-Licenças|Outros|PG *RQX (CORPO SUB01/12 app yoga carla
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|PARK PLACE
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Loungerie|LOUNGERIE SA      01/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PECORINO TIETE
B2. Educação (Mensal):Livros-Material Escolar|Outros|PAMARIS     -CT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAG*Fujiyama
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao do Parque|PADARIA FILO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LA BRASA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAG*PlanetaAcai
E1. Extraordinárias (Ongoing):Presentes|Lojas|VIA VENETO-FL.05-SHE.
C. Reembolsos:Reembolso|Outros|ESTORNO IOF
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Lojas|ZZAB WEBCOMM*Order01/05
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|AUTO POSTO RANGER
B2. Educação (Mensal):Livros-Material Escolar|Outros|AMERICANAS  *BRIND01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|LUPO VILLA L-CT   03/03
E1. Extraordinárias (Ongoing):Presentes|Lojas|GRANADO PHAR-CT AS03/05
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IFD*Smart Veggie
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Lojas|PAG*MobVillaLobos 05/06
E2. Extraordinárias (One Time):Médicos-Clinicas-Exames|Hospital Albert Einstein|EINSTEIN MORUMBI  03/03
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Lojas|TOK&STOK          08/10
E2. Extraordinárias (One Time):Manutenção Residência|Outros|PAG*NevadaPiscinas
E1. Extraordinárias (Ongoing):Presentes|Lojas|MISHA MORUMBI     04/07
E1. Extraordinárias (Ongoing):Presentes|Vivara|VIVARA XVL        01/07
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|000221 - FARM VILL01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Intimissimi|ALNILAM COMERCIO D02/02
E1. Extraordinárias (Ongoing):Assinaturas-Licenças|Outros|CERTISI*CERTI02346577
E1. Extraordinárias (Ongoing):Presentes|Lojas|HAVAIANA
C1. Lazer-Estetica-Vestuario-Celular:Celular|Claro Celular|CLARO LJ VILLA LOB01/12
C1. Lazer-Estetica-Vestuario-Celular:Celular|Claro Celular|CLARO LJ VILLA LOBOS
B2. Educação (Mensal):Livros-Material Escolar|Outros|SPR COMERCIAL     02/06
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OFNER
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|RAIA 25
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|HORTIFRUTI
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|TAM CALLCENTER    04/04
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|SUMMIT ESTETICA LT03/12
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Decathlon|DECATHLON RAPOSO  08/10
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|PHYTOART FARMACIA 02/02
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|CIRCUIT PARK ESTACIONA
D. Viagens:Passeios-Restaurantes|Outros|BIG-TOUR          08/10
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Loungerie|LOUNGERIE         04/05
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AROMA DE CAFE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MADERO 235
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Arezzo|PG *AREZZO        04/05
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|2796RAIA          02/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DELIGHT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TAPIOCA DO JU
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Calzedonia|ALNITAK COMERCIO D03/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Loungerie|LOUNGERIE SA      02/02
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|BIG
E1. Extraordinárias (Ongoing):Assinaturas-Licenças|Outros|PG *RQX (CORPO SUB02/12 app yoga carla
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|AUTO BOX CARVAO
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGARIA SAO PAULO01/05
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAG*ZmMexicanFood
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OZ PERNIL F.C
E1. Extraordinárias (Ongoing):Presentes|Lojas|HAVAIANA          01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Lojas|DECO SKIN
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RAVLA RESTAURANTES LTD
[Mastercard Personnalite]|Opening Balance|undefined
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|WIPE PASTA E GRILL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PHILADELFIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MAGNOLIA CAFE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE MOURA NUNE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MEU E M TS TRAT BELE
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGASIL LJ 170
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|FARMALIFE SP
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ZARAPEUSTAS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|RICHARDS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|SPEEDO
E1. Extraordinárias (Ongoing):Presentes|Outros|STA MARIA EXPRESS
E1. Extraordinárias (Ongoing):Presentes|Vila Romana|VILA ROMANA SUL NW01/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMERICA MORUMBI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AVILA COM
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|REDE ESTAPAR ESTAC
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AOYAMAS
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Açougue|ACOUGUE E DERIV
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F 10
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|FRUTARIA COLLIN
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|BOMBONIERE MONT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ARAK
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|FARMAX LJ 16
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALMANARA SH VILLA LOBO
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|TADAMASSA YAMADA
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGARIA SP L008
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Outros|ESTAPAR ESTACIONAMENTO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AJAJ LANCHONETE LTDA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALIMENTACAO JAS LANCHO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LANCHONETE MUZAMBINHO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SANTO DESCANSO
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|WET N WILD
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ANDIAMO ROCIO
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|SUPERMERCADOS M
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BAKED POTATOR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TEMAKI BY NORU
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KOPENHAGEM VL OLIMPIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VILLA AROMA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC DONALD S
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Outros|ESTAPAR ESTACIO
[Itau Personnalité]|Mastercard Personnalite|undefined
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GELATERIA PARMALAT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIENA ROCIO
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao de Açucar|PAO DE ACUCAR LJ 1248
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TASTE E DELIGHT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|THAI HO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REST JARDIM ALA
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGA ALETA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|QUALY FAST GRILL
E1. Extraordinárias (Ongoing):Presentes|Ri Happy|RI HAPPY BRINQUEDOS
E1. Extraordinárias (Ongoing):Presentes|Outros|ANY ANY
E1. Extraordinárias (Ongoing):Presentes|Outros|MEU E M TS TRAT
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|CENTRO COM SER VENEZ
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BELLO RESTAURANTE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OLIMPIA GRILL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BOMBONIERE MONTSON
D. Viagens:Compras|Amazon|29/02 - AMZ*Amazon Payments
D. Viagens:Compras|Amazon|Amazon.com
D. Viagens:Compras|Amazon|Amazon.com - BALMEX
H. Impostos Federais:CPMF-IOF|Governo|02/03 - IMPOSTO COMPRA INT-IOF
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ABADIA
D. Viagens:Compras|Amazon|AMZ*Amazon Payments
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALMANARA JD SUL
E1. Extraordinárias (Ongoing):Presentes|Outros|VICTOR HUGO 01/04
E1. Extraordinárias (Ongoing):Presentes|Outros|PBKIDS
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|EXTRA JAGUARE 135701/05
[Itau Personnalité]|Mastercard Personnalite|BKI PERS MASTER
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CHURASCARIA PORTAL GRI
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F 106
E1. Extraordinárias (Ongoing):Presentes|Outros|SANRIO ELDORADO 01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MAMMY GESTANTE IGUATEM
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MAMMY GESTANTE IGU01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC DONALD S NFL
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F 106 01/03
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|EXTRA JAGUARE 1
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE HIR
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|RICHARDS 01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|PIRLIMPIMPIM
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REST AMERICA J
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ART KILO
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|AUTO PARK
H. Impostos Federais:CPMF-IOF|Governo|IMPOSTO COMPRA INT-IOF
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CAFE VILA PARIS
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR ESTACIONAMENTO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE TAKEDA
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|MICROPLUS
E1. Extraordinárias (Ongoing):Presentes|Outros|VICTOR HUGO 02/04
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ROTIS VILLA MADALENA
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR ESTAC
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|EXTRA JAGUARE 135702/05
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIENA PLAZA SUL
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F 106 01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|C & A MODAS LJ 100
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GALETO S IBIRAPUERA 14
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Zara|ZARA IBIRAPUERA 01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KOPENHAGEN EMPRESARIA
E1. Extraordinárias (Ongoing):Presentes|Outros|PBKIDS BRINQUEDOS
E1. Extraordinárias (Ongoing):Presentes|Outros|SANRIO ELDORADO 02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SAPPORO
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Açougue|ACOUGUE E DERIVADOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MAMMY GESTANTE IGU02/03
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F 106 02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SOLO PASTA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|RICHARDS 02/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BELLO RESTAURAN
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Zeka Cabelereiro|ZEKA CABELEREIR
E1. Extraordinárias (Ongoing):Presentes|Ri Happy|RI HAPPY BRINQUED 02/03
A1. Residência Villas:Móveis|Outros|ETNA HOME STORE 01/06
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SALLVATTORE
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|AUTO POSTO HUNGRIA
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|DRI*ca.com - CA ANUIDADE ANTIVIRUS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|RICHARDS 01/04
I. Taxas Bancárias:Manutenção de Conta|Mastercard Personnalite|ANUIDADE CARTAO T 04/11
C. Reembolsos:Reembolso|Mastercard Personnalite|02/05 - EST DIF COT DOLAR
H. Impostos Federais:CPMF-IOF|Governo|02/05 - IMPOSTO COMPRA INT-IOF
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|DILETTO CALCADOS P01/03
E1. Extraordinárias (Ongoing):Presentes|Outros|VICTOR HUGO 03/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Arezzo|AREZZO IBIRAPUERA 01/04
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|MULTIPARK ESTACIONAMEN
B. Outras Receitas:Ajustes|Mastercard Personnalite|CREDITO/INSCRICAO TITUL
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|EXTRA JAGUARE 135703/05
E1. Extraordinárias (Ongoing):Presentes|Outros|ANY ANY 01/04
A1. Residência Villas:Móveis|Outros|BABY HOUSE TEODORO01/03
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F 106 02/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Zara|ZARA IBIRAPUERA 02/03
[Itau Personnalité]|Mastercard Personnalite|CARTAO PERSONNALITE
E1. Extraordinárias (Ongoing):Presentes|Outros|SANRIO ELDORADO 03/03
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|IVANA GARDEN
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CAFE DE SAO PAULO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MAMMY GESTANTE IGU03/03
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F 106 03/03
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|GIGANTE AUTO POSTO
E1. Extraordinárias (Ongoing):Presentes|Outros|FUNFARRA 01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DOCEIRA OFNER
A1. Residência Villas:Móveis|Outros|ETNA HOME STORE 02/06
E1. Extraordinárias (Ongoing):Presentes|Outros|30/05 - FLORES ON LINE
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|RICHARDS 02/04
E1. Extraordinárias (Ongoing):Presentes|Outros|O BOTICARIO VILLA LOBO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|DILETTO CALCADOS P02/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Decathlon|DECATHLON
E1. Extraordinárias (Ongoing):Presentes|Outros|VICTOR HUGO 04/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Arezzo|AREZZO IBIRAPUERA 02/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Lojas|LOJAS ZELO
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|BEST BAG
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|EXTRA JAGUARE 135704/05
E1. Extraordinárias (Ongoing):Presentes|Outros|ANY ANY 02/04
A1. Residência Villas:Móveis|Outros|BABY HOUSE TEODORO02/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Zara|ZARA IBIRAPUERA 03/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE SUPRA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MAGIA DOS SABORES
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao de Açucar|PAO DE ACUCAR LJ 2349
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|POSTO UNIVERSITARIOS
E2. Extraordinárias (One Time):Outras|Outros|PAYPAL *ROBOFORM
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|PP *1196 EXPUSE
A1. Residência Villas:Móveis|C&C|C&C CASA E CONSTRU01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VILA PIZZE E PANINI
A1. Residência Villas:Móveis|C&C|C&C CASA E CONS
E1. Extraordinárias (Ongoing):Presentes|Outros|FUNFARRA 02/03
B2. Educação (Mensal):Cursos Eduardo-Carla|Outros|PROJECT MANAGEMENT INS
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|SUPERMERCADO SANTA FE
B2. Educação (Mensal):Cursos Eduardo-Carla|Outros|PROJECT MGMT INSTITUTE - PMI EXAM
A1. Residência Villas:Móveis|Outros|ETNA HOME STORE 03/06
H. Impostos Federais:CPMF-IOF|Governo|IMPOSTO COMPRA INT-IOF - 1/07
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|RICHARDS 03/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|PUC IBIRAPUERA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|ZELO 01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|DILETTO CALCADOS P03/03
A1. Residência Villas:Móveis|Outros|FAST SHOP - TV LCD 32
A1. Residência Villas:Móveis|Outros|MADEIRAS PINHEIRO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Arezzo|AREZZO IBIRAPUERA 03/04
A1. Residência Villas:Móveis|Outros|MULTICOISAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|HAVANA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GALETO S MORUMBI 03
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|IG Lavanderia|5 A SEC COLINA SAO FCO
E1. Extraordinárias (Ongoing):Presentes|Outros|O BOTICARIO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIENA ALBERT EINSTEIN
A1. Residência Villas:Móveis|Outros|LEO MADEIRAS LJ 201/03
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|EXTRA JAGUARE 135705/05
E1. Extraordinárias (Ongoing):Presentes|Outros|ANY ANY 03/04
A1. Residência Villas:Móveis|Outros|BABY HOUSE TEODORO03/03
A1. Residência Villas:Móveis|C&C|C&C CASA E CONSTRU02/03
A1. Residência Villas:Móveis|Outros|ALO BEBE 01/03
A1. Residência Villas:Móveis|Outros|CASAS BAHIA 01/05
E1. Extraordinárias (Ongoing):Presentes|Outros|FUNFARRA 03/03
A1. Residência Villas:Móveis|Outros|ETNA HOME STORE 04/06
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VILA PIZZE E PA
G. Reembolsáveis:Despesas de Trabalho|Outros|LOCAWEB TRIMESTRAL PARA INTERCEPTI
B. Outras Receitas:Ajustes|Mastercard Personnalite|02/08 - EST DIF COT DOLAR
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|ZELO 02/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Vila Romana|VILA ROMANA SUL NW01/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Arezzo|AREZZO IBIRAPUERA 04/04
E1. Extraordinárias (Ongoing):Presentes|Outros|YACHTSMAN 01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Zara|ZARA IBIRAPUERA 01/05
A1. Residência Villas:Móveis|Outros|LEO MADEIRAS LJ 202/03
E1. Extraordinárias (Ongoing):Presentes|Outros|ANY ANY 04/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|HERING 01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|C&A 275
